time,dxy,us10y
2021-01-05 06:00:00+08:00,111.2075,0.93
2021-01-06 06:00:00+08:00,110.9574,0.96
2021-01-07 06:00:00+08:00,110.8502,1.04
2021-01-08 06:00:00+08:00,111.3042,1.08
2021-01-09 06:00:00+08:00,111.2847,1.13
2021-01-12 06:00:00+08:00,111.8257,1.15
2021-01-13 06:00:00+08:00,111.5501,1.15
2021-01-14 06:00:00+08:00,111.3622,1.1
2021-01-15 06:00:00+08:00,111.1567,1.15
2021-01-16 06:00:00+08:00,111.5106,1.11
2021-01-19 06:00:00+08:00,111.5106,1.11
2021-01-20 06:00:00+08:00,111.4527,1.1
2021-01-21 06:00:00+08:00,111.4527,1.1
2021-01-22 06:00:00+08:00,111.1973,1.12
2021-01-23 06:00:00+08:00,111.5516,1.1
2021-01-26 06:00:00+08:00,111.8676,1.05
2021-01-27 06:00:00+08:00,111.6572,1.05
2021-01-28 06:00:00+08:00,112.0782,1.04
2021-01-29 06:00:00+08:00,112.0059,1.07
2021-01-30 06:00:00+08:00,111.9511,1.11
2021-02-02 06:00:00+08:00,112.4189,1.09
2021-02-03 06:00:00+08:00,112.2862,1.12
2021-02-04 06:00:00+08:00,112.2567,1.15
2021-02-05 06:00:00+08:00,112.7469,1.15
2021-02-06 06:00:00+08:00,112.2379,1.19
2021-02-09 06:00:00+08:00,112.0428,1.19
2021-02-10 06:00:00+08:00,111.7675,1.18
2021-02-11 06:00:00+08:00,111.5834,1.15
2021-02-12 06:00:00+08:00,111.5272,1.16
2021-02-13 06:00:00+08:00,111.4889,1.2
2021-02-16 06:00:00+08:00,111.4889,1.2
2021-02-17 06:00:00+08:00,111.7879,1.3
2021-02-18 06:00:00+08:00,112.0204,1.29
2021-02-19 06:00:00+08:00,112.1603,1.29
2021-02-20 06:00:00+08:00,111.7058,1.34
2021-02-23 06:00:00+08:00,111.918,1.37
2021-02-24 06:00:00+08:00,111.8981,1.37
2021-02-25 06:00:00+08:00,111.7212,1.38
2021-02-26 06:00:00+08:00,111.9253,1.54
2021-02-27 06:00:00+08:00,112.8306,1.44
2021-03-02 06:00:00+08:00,112.5263,1.45
2021-03-03 06:00:00+08:00,112.5342,1.42
2021-03-04 06:00:00+08:00,112.7617,1.47
2021-03-05 06:00:00+08:00,112.7037,1.54
2021-03-06 06:00:00+08:00,113.7487,1.56
2021-03-09 06:00:00+08:00,114.2678,1.59
2021-03-10 06:00:00+08:00,113.928,1.55
2021-03-11 06:00:00+08:00,113.5881,1.53
2021-03-12 06:00:00+08:00,112.9214,1.54
2021-03-13 06:00:00+08:00,113.0269,1.64
2021-03-16 06:00:00+08:00,113.1928,1.62
2021-03-17 06:00:00+08:00,112.9839,1.62
2021-03-18 06:00:00+08:00,113.1589,1.63
2021-03-19 06:00:00+08:00,112.7744,1.71
2021-03-20 06:00:00+08:00,112.9756,1.74
2021-03-23 06:00:00+08:00,113.0023,1.69
2021-03-24 06:00:00+08:00,113.2916,1.63
2021-03-25 06:00:00+08:00,113.6565,1.62
2021-03-26 06:00:00+08:00,114.0016,1.63
2021-03-27 06:00:00+08:00,113.7406,1.67
2021-03-30 06:00:00+08:00,113.9314,1.73
2021-03-31 06:00:00+08:00,114.203,1.73
2021-04-01 06:00:00+08:00,113.8234,1.74
2021-04-02 06:00:00+08:00,113.7389,1.69
2021-04-03 06:00:00+08:00,113.7315,1.72
2021-04-06 06:00:00+08:00,113.394,1.73
2021-04-07 06:00:00+08:00,113.1464,1.67
2021-04-08 06:00:00+08:00,113.2436,1.68
2021-04-09 06:00:00+08:00,113.0917,1.64
2021-04-10 06:00:00+08:00,113.2028,1.67
2021-04-13 06:00:00+08:00,113.1815,1.69
2021-04-14 06:00:00+08:00,113.0391,1.64
2021-04-15 06:00:00+08:00,112.7849,1.64
2021-04-16 06:00:00+08:00,112.6181,1.56
2021-04-17 06:00:00+08:00,112.4814,1.59
2021-04-20 06:00:00+08:00,112.1835,1.61
2021-04-21 06:00:00+08:00,112.2354,1.58
2021-04-22 06:00:00+08:00,112.1771,1.57
2021-04-23 06:00:00+08:00,112.2297,1.57
2021-04-24 06:00:00+08:00,112.0889,1.58
2021-04-27 06:00:00+08:00,111.8109,1.58
2021-04-28 06:00:00+08:00,111.9097,1.63
2021-04-29 06:00:00+08:00,111.7909,1.63
2021-04-30 06:00:00+08:00,111.7464,1.65
2021-05-01 06:00:00+08:00,112.0839,1.65
2021-05-04 06:00:00+08:00,112.005,1.63
2021-05-05 06:00:00+08:00,112.2896,1.61
2021-05-06 06:00:00+08:00,112.1514,1.59
2021-05-07 06:00:00+08:00,111.8401,1.58
